,year,manufacturer,model,condition,cylinders,fuel,title_status,transmission,drive,size,type,paint_color,state,price_log,odometer_log
17502,2017,toyota,camry se,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,tx,9.510074525452104,11.17057599117614
428310,2009,honda,pilot,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,pa,8.974618038455112,11.696246522097267
215214,2002,jeep,grand cherokee,fair,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,blue,oh,7.549609165154532,12.29291525827992
257744,2014,ram,2500,excellent,6 cylinders,diesel,lien,automatic,4wd,full-size,truck,silver,ky,10.46310334047155,11.418724669571402
107343,2005,acura,mdx,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,red,co,8.517193191416238,12.161268775522245
269920,2019,dodge,grand caravan,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,mini-van,silver,mn,9.913437883389296,10.719781137917781
201670,2005,dodge,dakota,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,silver,ia,8.852950887099581,11.790632956274806
449092,2008,subaru,impreza,good,4 cylinders,gas,clean,manual,4wd,compact,sedan,grey,pa,8.410720946905721,11.877638020591428
116754,2009,subaru,forester 2.5x ltd awd,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,blue,ct,8.980927207648378,11.40767605425113
261618,2008,bmw,328xi,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,sedan,grey,mi,8.389359819906353,11.94744439346913
101710,2004,jeep,grand cherokee laredo,good,8 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,tx,8.160518247477505,11.944772814352511
462545,2019,ford,escape se 4wd,excellent,4 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,ca,9.975808214115753,9.789982851739307
42498,2008,rover,lr2 se,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,grey,pa,8.824677891164198,11.72407740343206
171075,2012,honda,civic,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,white,vt,8.748304912379623,11.736149013084608
251020,2000,buick,century custom,good,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,tn,7.647308832356238,11.652774360086626
104699,2011,ford,f350 xl sd 4x4 reg cab,excellent,8 cylinders,other,clean,automatic,4wd,full-size,truck,white,ks,9.2093398716426,11.673299596031358
308134,2001,chevrolet,silverado 2500hd,good,8 cylinders,gas,lien,automatic,4wd,full-size,truck,silver,wi,8.699514748210191,12.254910427613474
320916,2018,ford,escape,good,4 cylinders,gas,clean,automatic,fwd,full-size,SUV,grey,mn,9.47231994707559,7.774015077250727
308732,2014,ford,f-150,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,black,mn,9.903437551286085,11.86879408391632
488347,2006,ford,e450,good,10 cylinders,gas,clean,automatic,rwd,full-size,van,white,vt,8.411832675758411,12.013761357106851
78501,2014,ford,mustang,good,6 cylinders,gas,clean,automatic,rwd,mid-size,convertible,white,ca,9.47231994707559,10.85821022502582
272585,2014,lincoln,navigator,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,oh,9.903437551286085,11.490373060499717
1545,2009,ford,f-250,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,nc,9.159047077588632,12.152144303504619
27780,2011,audi,a6,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,sedan,silver,ca,9.205327830152639,11.680488650788638
415102,2007,acura,tsx,fair,4 cylinders,gas,clean,manual,fwd,mid-size,sedan,grey,ca,7.696212639346407,12.254910427613474
152601,2005,nissan,pathfinder le 4wd,good,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,fl,8.611593866837723,11.321922332113244
399610,1996,jeep,grand cherokee,good,8 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,ca,8.160518247477505,12.206122644280216
527906,2018,ford,edge titanium,like new,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,mn,10.165659490817816,10.415082880004208
483080,2008,ram,2500 slt 4x4 quad cab,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,red,in,9.539644119118783,11.617375566326693
6075,2003,ford,explorer,good,6 cylinders,gas,rebuilt,automatic,4wd,full-size,truck,silver,tn,8.216088098632316,12.022684520154112
341390,2002,nissan,xterra 4x4,fair,6 cylinders,gas,clean,manual,4wd,full-size,SUV,black,id,7.313220387090301,12.230814037418622
167225,1995,ram,1500 laramie slt,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,red,fl,8.987196820661973,11.27732970571678
68289,1996,pontiac,formula firebird,like new,8 cylinders,gas,clean,automatic,rwd,full-size,coupe,white,mi,9.61547209118311,10.307685191077328
109975,2013,chevrolet,equinox lt,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,SUV,white,az,8.987196820661973,11.555045816260435
375474,2013,ford,fusion,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,mo,9.192583650386924,11.111850705163357
532483,1993,mercedes-benz,benz 300sd,good,6 cylinders,diesel,clean,automatic,fwd,full-size,sedan,grey,nj,8.411832675758411,12.096570230705012
165726,2015,ford,focus,excellent,4 cylinders,gas,clean,automatic,fwd,compact,hatchback,blue,wa,8.851520271691061,11.4925492732174
443652,2013,ford,edge sel,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,red,il,9.104424146384634,11.290681508898855
350494,2015,chevrolet,malibu ls,excellent,4 cylinders,gas,clean,automatic,fwd,compact,sedan,white,tx,7.824046010856292,11.608290188741549
296864,2016,chevrolet,cruze ls,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,brown,md,8.92930284224307,11.487935808266622
59869,2010,kia,forte,excellent,4 cylinders,gas,clean,automatic,fwd,compact,sedan,silver,ny,8.611593866837723,11.692409666944023
513085,2012,gmc,acadia,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,ia,9.047233034106032,11.753940368103402
449635,2014,ram,3500 dually,good,8 cylinders,diesel,rebuilt,automatic,4wd,full-size,truck,black,wa,10.165851817003619,11.532826126676564
288417,2017,subaru,crosstrek,excellent,4 cylinders,gas,rebuilt,automatic,4wd,mid-size,wagon,black,mn,9.71057005652877,10.717391121731856
397082,1996,ford,f250,good,8 cylinders,diesel,clean,automatic,4wd,full-size,pickup,grey,id,8.85366542803745,10.309285938434412
483599,2007,volkswagen,beetle,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,convertible,silver,oh,8.187299270155147,11.767645199719182
314054,2005,dodge,dakota 4x4,good,8 cylinders,gas,clean,automatic,4wd,mid-size,truck,red,ga,8.565983355585669,11.78052982229264
167417,1998,dodge,dakota,good,6 cylinders,gas,clean,automatic,rwd,full-size,truck,red,tx,9.104424146384634,10.767853211545363
103668,2016,chevrolet,traverse,good,6 cylinders,gas,rebuilt,automatic,4wd,full-size,SUV,silver,ak,9.543234787249512,10.868835079697146
74048,2005,honda,odyssey exl,good,6 cylinders,gas,clean,automatic,fwd,compact,mini-van,green,dc,8.34283980427146,11.798179592347342
90949,1989,gmc,seirra 1500,fair,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,blue,ks,7.718685495198466,11.918457237522937
485113,2012,ford,f-250 sd,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,pa,9.679718805828,11.638932369504353
216789,2009,buick,lacrosse cxl fwd,like new,6 cylinders,gas,clean,automatic,fwd,compact,sedan,black,oh,8.411832675758411,11.561810862700039
110622,2010,ford,f-150,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,white,tx,7.824046010856292,11.702305386131629
42695,2006,honda,accord sport sedan 4d,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,brown,tx,8.00469951054955,12.206122644280216
335079,2017,ford,escape,excellent,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,ma,9.899730503658416,10.658129564405668
394809,2005,honda,civic,good,4 cylinders,gas,clean,manual,fwd,mid-size,sedan,grey,mt,8.101677747454572,12.235679990282831
